#,Zip Code,Location,City,Population,Avg. Income/H/hold,National Rank
341,10471,"40.898117, -73.900227","Bronx, New York",23413,56488,"#3,755"
342,12518,"41.401437, -74.037497","Cornwall, New York",6276,56443,"#3,768"
343,12198,"42.672453, -73.632704","Wynantskill, New York",7295,56401,"#3,779"
344,12524,"41.532263, -73.889150","Fishkill, New York",14045,56304,"#3,794"
345,11201,"40.693682, -73.989693","Brooklyn, New York",47746,56293,"#3,797"
346,10535,"41.335169, -73.793919","Jefferson Valley, New York",416,56250,"#3,802"
347,12029,"42.415956, -73.424965","Canaan, New York",1387,56250,"#3,806"
348,11706,"40.720471, -73.259399","Bay Shore, New York",60460,56128,"#3,836"
349,11520,"40.650851, -73.584575","Freeport, New York",44026,55923,"#3,886"
350,14546,"43.032675, -77.780006","Scottsville, New York",5479,55923,"#3,887"
351,10019,"40.766331, -73.985013","New York, New York",36012,55869,"#3,901"
352,11789,"40.957123, -72.971270","Sound Beach, New York",7660,55847,"#3,907"
353,10973,"41.380516, -74.480462","Slate Hill, New York",1887,55729,"#3,938"
354,10998,"41.324048, -74.541192","Westtown, New York",3648,55638,"#3,966"
355,12140,"42.696684, -73.540064","Poestenkill, New York",1303,55625,"#3,972"
356,11968,"40.905917, -72.415656","Southampton, New York",12032,55495,"#4,000"
357,10606,"41.020949, -73.775986","White Plains, New York",15733,55459,"#4,009"
358,11937,"41.008427, -72.194482","East Hampton, New York",13289,55414,"#4,023"
359,10306,"40.569755, -74.122141","Staten Island, New York",55698,55413,"#4,025"
360,13341,"43.036698, -75.397188","Franklin Springs, New York",54,55357,"#4,045"
361,11005,"40.756578, -73.714178","Floral Park, New York",2195,55351,"#4,046"
362,10710,"40.967157, -73.846339","Yonkers, New York",25202,55323,"#4,052"
363,11361,"40.764370, -73.771869","Bayside, New York",29206,55250,"#4,084"
364,11428,"40.721050, -73.742212","Queens Village, New York",21023,55219,"#4,092"
365,11004,"40.745809, -73.711240","Glen Oaks, New York",14682,55156,"#4,105"
366,11932,"40.939791, -72.308369","Bridgehampton, New York",1429,55125,"#4,110"
